Phonème,Position,Graphème
m,isolé,m’
m,début,hm
m,début,m
m,milieu,m
m,milieu,me
m,milieu,mm
m,milieu,mme
m,fin,m
m,fin,me
m,fin,ment
m,fin,mes
m,fin,mm
m,fin,mme
m,fin,mment
m,fin,mmes
m,fin,mms
m,fin,ms
v,début,v
v,début,w
v,milieu,bv
v,milieu,v
v,milieu,ve
v,milieu,w
v,fin,f
v,fin,v
v,fin,ve
v,fin,vent
v,fin,ves
v,fin,vs
v,fin,we
v,fin,went
v,fin,wes
f,début,f
f,début,ph
f,milieu,f
f,milieu,fe
f,milieu,ff
f,milieu,ffe
f,milieu,pf
f,milieu,ph
f,fin,f
f,fin,fe
f,fin,ff
f,fin,fent
f,fin,fes
f,fin,ffe
f,fin,ffent
f,fin,ffes
f,fin,fs
f,fin,gh
f,fin,pf
f,fin,ph
f,fin,phe
f,fin,phent
f,fin,phes
f,fin,phs
f,fin,v
f,fin,ve
f,fin,vs
b,début,b
b,début,bh
b,début,gb
b,milieu,b
b,milieu,be
b,milieu,bb
b,milieu,bbe
b,milieu,h
b,fin,b
b,fin,bbe
b,fin,bbent
b,fin,bbes
b,fin,be
b,fin,bent
b,fin,bes
b,fin,bs
p,début,p
p,milieu,b
p,milieu,p
p,milieu,pe
p,milieu,pp
p,milieu,ps
p,milieu,ppe
p,fin,p
p,fin,pe
p,fin,pent
p,fin,pes
p,fin,pp
p,fin,ppe
p,fin,ppent
p,fin,ppes
p,fin,pps
p,fin,ps
d,isolé,d’
d,début,d
d,début,dh
d,début,j
d,milieu,d
d,milieu,dd
d,milieu,de
d,milieu,dh
d,milieu,g
d,milieu,j
d,milieu,z
d,fin,d
d,fin,dd
d,fin,dde
d,fin,ddes
d,fin,ddent
d,fin,de
d,fin,dent
d,fin,des
d,fin,dds
d,fin,dh
d,fin,dhs
d,fin,ds
t,isolé,t’
t,début,c
t,début,t
t,début,th
t,milieu,c
t,milieu,cht
t,milieu,chts
t,milieu,d
t,milieu,pt
t,milieu,t
t,milieu,te
t,milieu,th
t,milieu,the
t,milieu,tt
t,milieu,tte
t,fin,cht
t,fin,chts
t,fin,d
t,fin,dt
t,fin,pt
t,fin,t
t,fin,te
t,fin,tent
t,fin,tes
t,fin,th
t,fin,the
t,fin,thent
t,fin,thes
t,fin,ths
t,fin,ts
t,fin,tt
t,fin,tte
t,fin,ttent
t,fin,ttes
t,fin,tts
n,isolé,n’
n,début,n
n,milieu,g
n,milieu,hn
n,milieu,mn
n,milieu,n
n,milieu,ñ
n,milieu,ne
n,milieu,nh
n,milieu,nn
n,milieu,nne
n,milieu,wn
n,fin,mne
n,fin,mnent
n,fin,mnes
n,fin,n
n,fin,nh
n,fin,nhs
n,fin,ne
n,fin,nent
n,fin,nes
n,fin,nn
n,fin,nne
n,fin,nnent
n,fin,nnes
n,fin,nns
n,fin,ns
ɲ,début,gn
ɲ,début,n
ɲ,début,ñ
ɲ,milieu,gn
ɲ,milieu,gne
ɲ,milieu,gni
ɲ,milieu,ign
ɲ,milieu,ñ
ɲ,milieu,ni
ɲ,milieu,nni
ɲ,milieu,ny
ɲ,fin,gne
ɲ,fin,gnent
ɲ,fin,gnes
ɲ,fin,igne
ɲ,fin,ny
ɲ,fin,nys
ŋ,début,n
ŋ,milieu,n
ŋ,milieu,ng
ŋ,fin,g
ŋ,fin,ng
ŋ,fin,ngs
ɡ,début,g
ɡ,début,gh
ɡ,début,gu
ɡ,milieu,c
ɡ,milieu,g
ɡ,milieu,gh
ɡ,milieu,gg
ɡ,milieu,gu
ɡ,milieu,gue
ɡ,fin,c
ɡ,fin,g
ɡ,fin,gge
ɡ,fin,ggent
ɡ,fin,gges
ɡ,fin,gs
ɡ,fin,gue
ɡ,fin,guent
ɡ,fin,gues
k,isolé,qu’
k,début,c
k,début,ch
k,début,k
k,début,kh
k,début,q
k,début,qu
k,début,xh
k,milieu,c
k,milieu,cc
k,milieu,cch
k,milieu,ch
k,milieu,cg
k,milieu,ck
k,milieu,cq
k,milieu,cqu
k,milieu,cque
k,milieu,g
k,milieu,k
k,milieu,kh
k,milieu,kk
k,milieu,kw
k,milieu,q
k,milieu,qu
k,milieu,que
k,fin,c
k,fin,ch
k,fin,che
k,fin,ches
k,fin,chs
k,fin,ck
k,fin,cke
k,fin,ckent
k,fin,ckes
k,fin,cks
k,fin,cq
k,fin,cque
k,fin,cquent
k,fin,cques
k,fin,cs
k,fin,g
k,fin,k
k,fin,ke
k,fin,kent
k,fin,kes
k,fin,kh
k,fin,khe
k,fin,khs
k,fin,khes
k,fin,kke
k,fin,kkent
k,fin,kkes
k,fin,ks
k,fin,kw
k,fin,kws
k,fin,q
k,fin,qs
k,fin,que
k,fin,quent
k,fin,ques
ʒ,isolé,j’
ʒ,début,g
ʒ,début,ge
ʒ,début,j
ʒ,milieu,e
ʒ,milieu,g
ʒ,milieu,ge
ʒ,milieu,gg
ʒ,milieu,j
ʒ,milieu,je
ʒ,fin,g
ʒ,fin,ge
ʒ,fin,gent
ʒ,fin,ges
ʒ,fin,j
ʒ,fin,je
ʒ,fin,jent
ʒ,fin,jes
ʒ,fin,js
ʃ,début,ch
ʃ,début,ch’
ʃ,début,che
ʃ,début,s
ʃ,début,sch
ʃ,début,sh
ʃ,début,x
ʃ,début,zh
ʃ,milieu,c
ʃ,milieu,ch
ʃ,milieu,che
ʃ,milieu,chs
ʃ,milieu,h
ʃ,milieu,s
ʃ,milieu,sc
ʃ,milieu,sch
ʃ,milieu,sh
ʃ,milieu,x
ʃ,milieu,z
ʃ,fin,ch
ʃ,fin,che
ʃ,fin,chent
ʃ,fin,ches
ʃ,fin,chs
ʃ,fin,sch
ʃ,fin,sche
ʃ,fin,schent
ʃ,fin,sches
ʃ,fin,schs
ʃ,fin,sh
ʃ,fin,she
ʃ,fin,shes
ʃ,fin,shent
ʃ,fin,shs
z,début,j
z,début,z
z,milieu,s
z,milieu,se
z,milieu,si
z,milieu,x
z,milieu,z
z,milieu,zh
z,milieu,ze
z,milieu,zz
z,fin,s
z,fin,se
z,fin,sent
z,fin,ses
z,fin,x
z,fin,z
z,fin,ze
z,fin,zent
z,fin,zes
z,fin,zh
z,fin,zs
z,fin,zz
z,fin,zze
z,fin,zzent
z,fin,zzes
s,isolé,c’
s,isolé,s’
s,isolé,ç’
s,début,c
s,début,ç
s,début,s
s,début,sc
s,début,th
s,début,x
s,milieu,c
s,milieu,cc
s,milieu,ç
s,milieu,ce
s,milieu,s
s,milieu,sc
s,milieu,sç
s,milieu,se
s,milieu,ss
s,milieu,sse
s,milieu,sth
s,milieu,t
s,milieu,x
s,milieu,z
s,fin,ce
s,fin,cent
s,fin,ces
s,fin,s
s,fin,sce
s,fin,scent
s,fin,sces
s,fin,ss
s,fin,se
s,fin,sent
s,fin,ses
s,fin,sse
s,fin,ssent
s,fin,sses
s,fin,th
s,fin,ths
s,fin,tz
s,fin,x
s,fin,z
ʁ,début,r
ʁ,début,rh
ʁ,début,rr
ʁ,milieu,r
ʁ,milieu,r’
ʁ,milieu,rc
ʁ,milieu,re
ʁ,milieu,rh
ʁ,milieu,rr
ʁ,milieu,rre
ʁ,milieu,rrh
ʁ,milieu,rrhe
ʁ,milieu,rt
ʁ,milieu,gh
ʁ,fin,r
ʁ,fin,rc
ʁ,fin,rcs
ʁ,fin,rd
ʁ,fin,rds
ʁ,fin,re
ʁ,fin,rent
ʁ,fin,res
ʁ,fin,rf
ʁ,fin,rfs
ʁ,fin,rg
ʁ,fin,rgh
ʁ,fin,rgs
ʁ,fin,rps
ʁ,fin,rr
ʁ,fin,rre
ʁ,fin,rrent
ʁ,fin,rres
ʁ,fin,rrhe
ʁ,fin,rrhent
ʁ,fin,rrhes
ʁ,fin,rrs
ʁ,fin,rs
ʁ,fin,rt
ʁ,fin,rts
ʁ,fin,gh
ʁ,fin,ghe
ʁ,fin,ghes
ʁ,fin,ghs
l,isolé,l’
l,début,l
l,début,ll
l,milieu,e
l,milieu,gl
l,milieu,l
l,milieu,le
l,milieu,li
l,milieu,lh
l,milieu,ll
l,milieu,lle
l,fin,e
l,fin,es
l,fin,l
l,fin,le
l,fin,lent
l,fin,les
l,fin,lle
l,fin,llent
l,fin,lles
l,fin,ll
l,fin,lls
l,fin,ls
j,isolé,y
j,isolé,y’
j,début,hi
j,début,hy
j,début,i
j,début,ï
j,début,j
j,début,y
j,début,yi
j,milieu,e
j,milieu,g
j,milieu,i
j,milieu,ï
j,milieu,ïi
j,milieu,ill
j,milieu,ille
j,milieu,illi
j,milieu,j
j,milieu,gh
j,milieu,gui
j,milieu,hi
j,milieu,l
j,milieu,lh
j,milieu,ll
j,milieu,lle
j,milieu,lli
j,milieu,n
j,milieu,u
j,milieu,y
j,milieu,ye
j,milieu,yi
j,fin,e
j,fin,glie
j,fin,glies
j,fin,i
j,fin,ï
j,fin,ie
j,fin,ïe
j,fin,ïes
j,fin,ïent
j,fin,il
j,fin,ille
j,fin,illes
j,fin,ils
j,fin,illent
j,fin,is
j,fin,ïs
j,fin,lle
j,fin,llent
j,fin,lles
j,fin,y
j,fin,ye
j,fin,yent
j,fin,yes
j,fin,ys
w,début,ho
w,début,hou
w,début,ou
w,début,w
w,début,o
w,milieu,hou
w,milieu,hu
w,milieu,o
w,milieu,oo
w,milieu,ou
w,milieu,oy
w,milieu,u
w,milieu,w
w,fin,w
ɥ,début,hu
ɥ,milieu,hu
ɥ,milieu,u
ɥ,milieu,ü
ɥ,milieu,’hu
i,isolé,hi
i,isolé,hie
i,isolé,hient
i,isolé,hies
i,isolé,y
i,début,hi
i,début,hie
i,début,hy
i,début,i
i,début,î
i,début,y
i,milieu,e
i,milieu,ea
i,milieu,ee
i,milieu,eo
i,milieu,hi
i,milieu,hî
i,milieu,hy
i,milieu,i
i,milieu,î
i,milieu,ï
i,milieu,ie
i,milieu,is
i,milieu,o
i,milieu,u
i,milieu,ui
i,milieu,y
i,milieu,yg
i,milieu,ÿ
i,fin,ee
i,fin,ees
i,fin,hi
i,fin,hie
i,fin,hies
i,fin,his
i,fin,hit
i,fin,hît
i,fin,hy
i,fin,i
i,fin,ï
i,fin,î
i,fin,id
i,fin,ids
i,fin,ict
i,fin,icts
i,fin,ie
i,fin,ïe
i,fin,ient
i,fin,ies
i,fin,ïes
i,fin,ii
i,fin,il
i,fin,ils
i,fin,is
i,fin,ïs
i,fin,it
i,fin,ît
i,fin,its
i,fin,ix
i,fin,iz
i,fin,y
i,fin,ÿ
i,fin,ye
i,fin,yes
i,fin,yie
i,fin,yies
i,fin,ys
i,fin,yt
e,isolé,ai
e,isolé,eh
e,isolé,et
e,isolé,hé
e,isolé,hés
e,début,ae
e,début,ai
e,début,aî
e,début,æ
e,début,ay
e,début,e
e,début,é
e,début,ey
e,début,ha
e,début,he
e,début,hé
e,début,œ
e,début,oe
e,milieu,a
e,milieu,ae
e,milieu,æ
e,milieu,ai
e,milieu,ay
e,milieu,e
e,milieu,é
e,milieu,ê
e,milieu,ë
e,milieu,ée
e,milieu,ei
e,milieu,ey
e,milieu,hé
e,milieu,œ
e,milieu,oe
e,fin,ae
e,fin,æ
e,fin,aes
e,fin,ai
e,fin,ais
e,fin,ay
e,fin,ays
e,fin,e
e,fin,é
e,fin,ë
e,fin,ed
e,fin,eds
e,fin,eh
e,fin,ehe
e,fin,ehes
e,fin,ehs
e,fin,ee
e,fin,ër
e,fin,et
e,fin,ets
e,fin,ée
e,fin,éent
e,fin,ées
e,fin,ef
e,fin,efs
e,fin,er
e,fin,ers
e,fin,es
e,fin,és
e,fin,ës
e,fin,ey
e,fin,ex
e,fin,ez
e,fin,her
ɛ,isolé,aie
ɛ,isolé,aient
ɛ,isolé,aies
ɛ,isolé,ais
ɛ,isolé,ait
ɛ,isolé,ayent
ɛ,isolé,es
ɛ,isolé,est
ɛ,isolé,haie
ɛ,isolé,haies
ɛ,isolé,hais
ɛ,isolé,hait
ɛ,isolé,haye
ɛ,début,a
ɛ,début,ae
ɛ,début,æ
ɛ,début,ai
ɛ,début,aî
ɛ,début,e
ɛ,début,é
ɛ,début,è
ɛ,début,ê
ɛ,début,ha
ɛ,début,hay
ɛ,début,he
ɛ,début,hé
ɛ,début,hê
ɛ,début,œ
ɛ,milieu,a
ɛ,milieu,ä
ɛ,milieu,ae
ɛ,milieu,æ
ɛ,milieu,ai
ɛ,milieu,aie
ɛ,milieu,ay
ɛ,milieu,aye
ɛ,milieu,aî
ɛ,milieu,e
ɛ,milieu,ey
ɛ,milieu,è
ɛ,milieu,é
ɛ,milieu,ê
ɛ,milieu,ë
ɛ,milieu,ea
ɛ,milieu,ee
ɛ,milieu,ei
ɛ,milieu,es
ɛ,milieu,hai
ɛ,milieu,he
ɛ,milieu,hè
ɛ,milieu,i
ɛ,milieu,ue
ɛ,milieu,œ
ɛ,fin,ai
ɛ,fin,aict
ɛ,fin,aicts
ɛ,fin,aid
ɛ,fin,aids
ɛ,fin,aie
ɛ,fin,aient
ɛ,fin,aies
ɛ,fin,ais
ɛ,fin,ait
ɛ,fin,aît
ɛ,fin,aits
ɛ,fin,aix
ɛ,fin,ay
ɛ,fin,aye
ɛ,fin,ayes
ɛ,fin,ays
ɛ,fin,eah
ɛ,fin,ect
ɛ,fin,ects
ɛ,fin,eh
ɛ,fin,ehs
ɛ,fin,eigh
ɛ,fin,eighs
ɛ,fin,es
ɛ,fin,est
ɛ,fin,è
ɛ,fin,ès
ɛ,fin,et
ɛ,fin,ê
ɛ,fin,ês
ɛ,fin,êt
ɛ,fin,ets
ɛ,fin,êts
ɛ,fin,ey
ɛ,fin,eys
ɛ̃,isolé,aim
ɛ̃,isolé,aims
ɛ̃,isolé,ain
ɛ̃,isolé,ains
ɛ̃,isolé,ein
ɛ̃,isolé,eins
ɛ̃,isolé,haim
ɛ̃,isolé,haims
ɛ̃,isolé,hain
ɛ̃,isolé,hains
ɛ̃,isolé,hein
ɛ̃,début,ain
ɛ̃,début,ein
ɛ̃,début,hin
ɛ̃,début,im
ɛ̃,début,in
ɛ̃,milieu,ain
ɛ̃,milieu,e
ɛ̃,milieu,ein
ɛ̃,milieu,en
ɛ̃,milieu,im
ɛ̃,milieu,in
ɛ̃,milieu,ing
ɛ̃,milieu,ïn
ɛ̃,milieu,în
ɛ̃,milieu,ym
ɛ̃,milieu,yn
ɛ̃,fin,aim
ɛ̃,fin,aims
ɛ̃,fin,ain
ɛ̃,fin,ainc
ɛ̃,fin,aincs
ɛ̃,fin,aing
ɛ̃,fin,aings
ɛ̃,fin,ains
ɛ̃,fin,aint
ɛ̃,fin,aints
ɛ̃,fin,ein
ɛ̃,fin,eins
ɛ̃,fin,eing
ɛ̃,fin,eings
ɛ̃,fin,eint
ɛ̃,fin,eints
ɛ̃,fin,en
ɛ̃,fin,ens
ɛ̃,fin,ent
ɛ̃,fin,in
ɛ̃,fin,inct
ɛ̃,fin,incts
ɛ̃,fin,ingt
ɛ̃,fin,ingts
ɛ̃,fin,ins
ɛ̃,fin,int
ɛ̃,fin,ints
ɛ̃,fin,înt
ɛ̃,fin,ym
ɛ̃,fin,yms
ɛ̃,fin,yn
œ̃,isolé,1
œ̃,isolé,i
œ̃,isolé,Hun
œ̃,isolé,Huns
œ̃,isolé,un
œ̃,isolé,uns
œ̃,début,hum
œ̃,début,um
œ̃,début,un
œ̃,milieu,un
œ̃,fin,um
œ̃,fin,ums
œ̃,fin,un
œ̃,fin,uns
œ̃,fin,unt
œ̃,fin,unts
œ,début,heu
œ,début,hœ
œ,début,hu
œ,début,œ
œ,début,œu
œ,milieu,e
œ,milieu,ea
œ,milieu,eu
œ,milieu,i
œ,milieu,io
œ,milieu,l
œ,milieu,œ
œ,milieu,heu
œ,milieu,o
œ,milieu,œu
œ,milieu,ogl
œ,milieu,oe
œ,milieu,u
œ,milieu,ue
œ,fin,eu
œ,fin,euent
ə,milieu,ai
ə,milieu,e
ə,milieu,on
ə,fin,e
ø,isolé,euh
ø,isolé,eux
ø,isolé,œufs
ø,début,e
ø,début,eu
ø,début,heu
ø,début,hœ
ø,début,œ
ø,milieu,e
ø,milieu,eu
ø,milieu,eû
ø,milieu,oe
ø,milieu,œ
ø,milieu,œu
ø,milieu,ö
ø,fin,eu
ø,fin,eud
ø,fin,eue
ø,fin,euent
ø,fin,eues
ø,fin,euf
ø,fin,eufs
ø,fin,euh
ø,fin,euhe
ø,fin,euhes
ø,fin,euhs
ø,fin,eur
ø,fin,eurs
ø,fin,eus
ø,fin,eut
ø,fin,euts
ø,fin,eux
ø,fin,œu
ø,fin,œud
ø,fin,œuds
ø,fin,œulx
ø,fin,œufs
ø,fin,œux
y,isolé,eu
y,isolé,eue
y,isolé,eues
y,isolé,eus
y,isolé,eut
y,isolé,eût
y,isolé,hue
y,isolé,huent
y,isolé,hues
y,début,eu
y,début,eû
y,début,hu
y,début,u
y,début,ü
y,milieu,eu
y,milieu,eü
y,milieu,hu
y,milieu,u
y,milieu,us
y,milieu,uu
y,milieu,ü
y,milieu,üe
y,milieu,uë
y,milieu,û
y,milieu,ue
y,fin,hu
y,fin,hue
y,fin,huent
y,fin,hues
y,fin,hus
y,fin,hut
y,fin,huts
y,fin,u
y,fin,ü
y,fin,û
y,fin,ue
y,fin,uë
y,fin,üe
y,fin,uent
y,fin,uënt
y,fin,üent
y,fin,ues
y,fin,uës
y,fin,ües
y,fin,ul
y,fin,uls
y,fin,upt
y,fin,upts
y,fin,us
y,fin,ûs
y,fin,ut
y,fin,ût
y,fin,uth
y,fin,uths
y,fin,uts
y,fin,ûts
y,fin,ux
y,fin,uz
u,isolé,hou
u,isolé,houe
u,isolé,houx
u,isolé,ou
u,isolé,où
u,isolé,ouh
u,début,aou
u,début,aoû
u,début,hou
u,début,hu
u,début,ou
u,début,oû
u,début,u
u,début,ü
u,milieu,aou
u,milieu,e
u,milieu,hou
u,milieu,o
u,milieu,oe
u,milieu,oo
u,milieu,ou
u,milieu,oup
u,milieu,oû
u,milieu,oue
u,milieu,ow
u,milieu,u
u,milieu,ui
u,milieu,ü
u,milieu,w
u,fin,aoul
u,fin,aouls
u,fin,e
u,fin,ew
u,fin,ews
u,fin,ou
u,fin,où
u,fin,oub
u,fin,oubs
u,fin,ouc
u,fin,oucs
u,fin,oud
u,fin,ouds
u,fin,oue
u,fin,ouent
u,fin,ouh
u,fin,oues
u,fin,oug
u,fin,ougs
u,fin,ouls
u,fin,oo
u,fin,oos
u,fin,oup
u,fin,oups
u,fin,ous
u,fin,out
u,fin,oût
u,fin,outs
u,fin,oûts
u,fin,oux
u,fin,u
u,fin,us
o,isolé,au
o,isolé,aulx
o,isolé,aux
o,isolé,eau
o,isolé,eaux
o,isolé,haut
o,isolé,hauts
o,isolé,ho
o,isolé,ô
o,isolé,oh
o,isolé,os
o,début,au
o,début,aul
o,début,aux
o,début,eau
o,début,eaux
o,début,ha
o,début,hau
o,début,haut
o,début,hauts
o,début,heau
o,début,ho
o,début,hô
o,début,hoa
o,début,o
o,début,ô
o,début,oh
o,milieu,a
o,milieu,au
o,milieu,aû
o,milieu,aw
o,milieu,eo
o,milieu,eau
o,milieu,hau
o,milieu,o
o,milieu,ô
o,milieu,ó
o,milieu,ō
o,milieu,oa
o,milieu,oh
o,milieu,oo
o,fin,ao
o,fin,aos
o,fin,au
o,fin,aud
o,fin,auds
o,fin,ault
o,fin,aults
o,fin,aulx
o,fin,aus
o,fin,aut
o,fin,auts
o,fin,auw
o,fin,auws
o,fin,aux
o,fin,aw
o,fin,aws
o,fin,eau
o,fin,eaus
o,fin,eaux
o,fin,hau
o,fin,haut
o,fin,hauts
o,fin,ho
o,fin,hos
o,fin,o
o,fin,ô
o,fin,oc
o,fin,ocs
o,fin,oe
o,fin,oh
o,fin,oo
o,fin,oos
o,fin,ooz
o,fin,op
o,fin,ops
o,fin,os
o,fin,ôs
o,fin,ot
o,fin,ôt
o,fin,oth
o,fin,oths
o,fin,ots
o,fin,ôts
o,fin,ow
o,fin,ows
o,fin,oz
ɔ,début,au
ɔ,début,ho
ɔ,début,o
ɔ,milieu,a
ɔ,milieu,ao
ɔ,milieu,au
ɔ,milieu,aw
ɔ,milieu,ho
ɔ,milieu,o
ɔ,milieu,ö
ɔ,milieu,ô
ɔ,milieu,ō
ɔ,milieu,oa
ɔ,milieu,oho
ɔ,milieu,oo
ɔ,milieu,ou
ɔ,milieu,ow
ɔ,milieu,u
ɔ,milieu,ü
ɔ,milieu,œ
ɔ,fin,o
ɔ,fin,os
ɔ,fin,ot
ɔ,fin,ots
ɔ̃,isolé,hon
ɔ̃,isolé,on
ɔ̃,isolé,ont
ɔ̃,début,hon
ɔ̃,début,hom
ɔ̃,début,om
ɔ̃,début,on
ɔ̃,début,um
ɔ̃,début,un
ɔ̃,milieu,hon
ɔ̃,milieu,om
ɔ̃,milieu,omp
ɔ̃,milieu,on
ɔ̃,milieu,um
ɔ̃,milieu,ump
ɔ̃,milieu,un
ɔ̃,milieu,unk
ɔ̃,fin,aon
ɔ̃,fin,aons
ɔ̃,fin,om
ɔ̃,fin,omb
ɔ̃,fin,ombs
ɔ̃,fin,ompt
ɔ̃,fin,ompts
ɔ̃,fin,oms
ɔ̃,fin,on
ɔ̃,fin,onc
ɔ̃,fin,oncs
ɔ̃,fin,ond
ɔ̃,fin,onds
ɔ̃,fin,ong
ɔ̃,fin,ongs
ɔ̃,fin,ons
ɔ̃,fin,ont
ɔ̃,fin,onts
ɑ̃,isolé,an
ɑ̃,isolé,ans
ɑ̃,isolé,en
ɑ̃,isolé,han
ɑ̃,début,e
ɑ̃,début,am
ɑ̃,début,an
ɑ̃,début,em
ɑ̃,début,en
ɑ̃,début,ham
ɑ̃,début,han
ɑ̃,début,hen
ɑ̃,milieu,a
ɑ̃,milieu,aan
ɑ̃,milieu,aën
ɑ̃,milieu,am
ɑ̃,milieu,amp
ɑ̃,milieu,an
ɑ̃,milieu,ang
ɑ̃,milieu,e
ɑ̃,milieu,em
ɑ̃,milieu,emp
ɑ̃,milieu,en
ɑ̃,milieu,han
ɑ̃,milieu,hen
ɑ̃,fin,aen
ɑ̃,fin,am
ɑ̃,fin,amp
ɑ̃,fin,amps
ɑ̃,fin,ams
ɑ̃,fin,an
ɑ̃,fin,anc
ɑ̃,fin,ancs
ɑ̃,fin,and
ɑ̃,fin,ands
ɑ̃,fin,ang
ɑ̃,fin,angs
ɑ̃,fin,ans
ɑ̃,fin,ant
ɑ̃,fin,ants
ɑ̃,fin,aon
ɑ̃,fin,aons
ɑ̃,fin,emps
ɑ̃,fin,empt
ɑ̃,fin,empts
ɑ̃,fin,end
ɑ̃,fin,ends
ɑ̃,fin,eng
ɑ̃,fin,engs
ɑ̃,fin,ens
ɑ̃,fin,ent
ɑ̃,fin,ents
ɑ̃,fin,han
ɑ̃,fin,hans
ɑ,début,a
ɑ,début,â
ɑ,début,hâ
ɑ,milieu,a
ɑ,milieu,as
ɑ,milieu,â
ɑ,milieu,aa
ɑ,milieu,am
ɑ,milieu,âh
ɑ,milieu,i
ɑ,milieu,î
ɑ,fin,as
ɑ,fin,âs
ɑ,fin,ât
ɑ,fin,at
ɑ,fin,ats
ɑ,fin,âts
ɑ,fin,aw
ɑ,fin,az
a,isolé,a
a,isolé,à
a,isolé,ah
a,isolé,as
a,début,a
a,début,aa
a,début,ah
a,début,as
a,début,ha
a,début,hâ
a,milieu,a
a,milieu,â
a,milieu,ã
a,milieu,aa
a,milieu,ae
a,milieu,ah
a,milieu,ao
a,milieu,as
a,milieu,at
a,milieu,e
a,milieu,ê
a,milieu,ha
a,milieu,hâ
a,milieu,i
a,milieu,î
a,milieu,ie
a,milieu,ig
a,milieu,o
a,milieu,y
a,fin,a
a,fin,à
a,fin,āʾ
a,fin,aa
a,fin,ac
a,fin,ach
a,fin,achs
a,fin,acs
a,fin,act
a,fin,acts
a,fin,ah
a,fin,ahs
a,fin,ap
a,fin,aps
a,fin,ars
a,fin,as
a,fin,at
a,fin,ât
a,fin,ats
a,fin,âts
a,fin,ax
a,fin,ha
a,fin,i
a,fin,id
a,fin,ids
a,fin,ie
a,fin,ient
a,fin,ies
a,fin,igt
a,fin,igts
a,fin,is
a,fin,it
a,fin,ît
a,fin,its
a,fin,îts
a,fin,ix
a,fin,ois
a,fin,yes
aj,début,hei
aj,milieu,hei
aj,milieu,hi
aj,milieu,i
aj,milieu,y
dʒ,début,j
dʒ,milieu,g
ij,milieu,i
ij,milieu,y
ks,début,x
ks,milieu,x
ks,milieu,xc
ks,fin,x
ks,fin,xe
ks,fin,xes
ks,fin,xent
ɡz,début,x
ɡz,milieu,x
ɔɛ,milieu,œ
tʃ,début,ch
tʃ,début,x
tʃ,milieu,ch
tʃ,milieu,œ
wa,milieu,o
be,isolé,b
be,début,b
be,milieu,b
be,fin,b
se,isolé,c
se,début,c
se,milieu,c
se,fin,c
de,isolé,d
de,début,d
de,milieu,d
de,fin,d
ɛf,isolé,f
ɛf,début,f
ɛf,milieu,f
ɛf,fin,f
ʒe,isolé,g
ʒe,début,g
ʒe,milieu,g
ʒe,fin,g
aʃ,isolé,h
aʃ,début,h
aʃ,milieu,h
aʃ,fin,h
ʒi,isolé,j
ʒi,début,j
ʒi,milieu,j
ʒi,fin,j
ka,isolé,k
ka,début,k
ka,milieu,k
ka,fin,k
ɛl,isolé,l
ɛl,début,l
ɛl,milieu,l
ɛl,fin,l
ɛm,isolé,m
ɛm,début,m
ɛm,milieu,m
ɛm,fin,m
ɛn,isolé,n
ɛn,début,n
ɛn,milieu,n
ɛn,fin,n
pe,isolé,p
pe,début,p
pe,milieu,p
pe,fin,p
ky,isolé,q
ky,début,q
ky,milieu,q
ky,fin,q
ɛʁ,isolé,r
ɛʁ,début,r
ɛʁ,milieu,r
ɛʁ,fin,r
ɛs,isolé,s
ɛs,début,s
ɛs,milieu,s
ɛs,milieu,ss
ɛs,fin,s
te,isolé,t
te,début,t
te,milieu,t
te,fin,t
ve,isolé,v
ve,début,v
ve,milieu,v
ve,fin,v
dubləve,isolé,w
dubləve,début,w
dubləve,milieu,w
dubləve,fin,w
iks,isolé,x
iks,début,x
iks,milieu,x
iks,fin,x
iɡʁɛk,isolé,y
iɡʁɛk,début,y
iɡʁɛk,milieu,y
iɡʁɛk,fin,y
zɛd,isolé,z
zɛd,début,z
zɛd,milieu,z
zɛd,fin,z
dø,isolé,2
dø,isolé,ii
tʁwa,isolé,3
tʁwa,isolé,iii
tʁwɑ,isolé,3
tʁwɑ,isolé,iii
katʁ,isolé,4
katʁ,isolé,iv
sɛ̃k,isolé,5
sɛ̃k,isolé,v
sis,isolé,6
sis,isolé,vi
sɛt,isolé,7
sɛt,isolé,vii
ɥit,isolé,8
ɥit,isolé,viii
nœf,isolé,9
nœf,isolé,ix
dis,isolé,10
dis,isolé,x
